,Country,Total Cases,Total Deaths,Total Recovered
0,USA,"1,263,224","74,809 ","213,109"
1,Spain,"253,682","159,359","2,075"
2,Italy,"214,457","93,245","1,333"
3,UK,"201,101",N/A,"1,559"
4,France,"174,191","53,972","3,147"
5,Germany,"168,162","139,900","1,884"
6,Russia,"165,929","21,327","2,300"
7,Turkey,"131,744","78,202","1,278"
8,Brazil,"126,611","51,370","8,318"
9,Iran,"101,650","81,587","2,735"
10,Canada,"63,496","28,171",502
11,Peru,"54,817","17,527",717
12,India,"53,045","1,787 ","15,331"
13,Belgium,"50,781","12,731",646
14,Netherlands,"41,319",N/A,628
15,Saudi Arabia,"31,938","6,783",137
16,Switzerland,"30,060","25,700",121
17,Ecuador,"29,420","3,433",156
18,Mexico,"27,634","2,704 ","17,781"
19,Portugal,"26,182","2,076",136
20,Pakistan,"24,073",564 ,"6,464"
21,Sweden,"23,918","4,074",425
22,Chile,"23,048","11,189",470
23,Ireland,"22,248","17,110",93
24,Singapore,"20,198","1,634",23
25,Belarus,"19,255","4,388",92
26,Qatar,"17,972","2,070",72
27,Israel,"16,310","10,637",89
28,UAE,"15,738","3,359",1
29,Austria,"15,684","13,639",97
30,Japan,"15,253","4,496",308
31,Poland,"14,740","4,655",160
32,Romania,"14,107","5,788",244
33,Ukraine,"13,691",340 ,"2,396"
34,Indonesia,"12,438","2,317",45
35,Bangladesh,"11,719","1,403",1
36,S. Korea,"10,810",256 ,"9,419"
37,Philippines,"10,004","1,506",31
38,Denmark,"9,938","7,493",46
39,Serbia,"9,791","1,971",48
40,Colombia,"8,959","2,148",123
41,Dominican Republic,"8,807","1,960",144
42,Norway,"7,996",32,27
43,Czechia,"7,974","4,205",59
44,South Africa,"7,808","3,153",36
45,Panama,"7,731",218 ,859
46,Egypt,"7,588","1,815",74
47,Australia,"6,894",97 ,757
48,Malaysia,"6,428","4,702",22
49,Kuwait,"6,289","2,219",88
50,Finland,"5,573","3,500",44
51,Morocco,"5,408","2,017",1
52,Argentina,"5,208","1,524",148
53,Algeria,"4,997","2,197",22
54,Kazakhstan,"4,502",30 ,"3,064"
55,Moldova,"4,476","1,658",237
56,Bahrain,"3,934","1,860",4
57,Luxembourg,"3,851","3,452",20
58,Afghanistan,"3,392",458,7
59,Hungary,"3,150",383 ,801
60,Nigeria,"3,145",534,4
61,Ghana,"3,091",303,4
62,Thailand,"2,992",55 ,165
63,Oman,"2,903",888,17
64,Armenia,"2,782","1,135",10
65,Greece,"2,663","1,374",36
66,Iraq,"2,480","1,602",62
67,Uzbekistan,"2,266",10 ,679
68,Cameroon,"2,265","1,000",12
69,Azerbaijan,"2,127","1,536",18
